date,ticker,name,currency,asset_type,open,high,low,close,adj_close,volume,usd_per_unit,fx_filled,close_usd,adj_close_usd
2021-01-04,ASML,ASML Holding,USD,stock,499.989990234375,504.75,490.7099914550781,500.0,476.2793273925781,1527600,1.0,0,500.0,476.2793273925781
2021-01-05,ASML,ASML Holding,USD,stock,494.1600036621094,505.3599853515625,493.8900146484375,505.3599853515625,481.38494873046875,1029900,1.0,0,505.3599853515625,481.38494873046875
2021-01-06,ASML,ASML Holding,USD,stock,491.8500061035156,499.8399963378906,489.739990234375,490.2200012207031,466.96331787109375,977900,1.0,0,490.2200012207031,466.96331787109375
2021-01-07,ASML,ASML Holding,USD,stock,495.9700012207031,503.2200012207031,495.5199890136719,501.42999267578125,477.64154052734375,936200,1.0,0,501.42999267578125,477.64154052734375
2021-01-08,ASML,ASML Holding,USD,stock,512.5900268554688,514.280029296875,501.7099914550781,508.739990234375,484.6046447753906,734500,1.0,0,508.739990234375,484.6046447753906
2021-01-11,ASML,ASML Holding,USD,stock,500.5,508.9100036621094,499.42999267578125,507.95001220703125,483.8521728515625,703000,1.0,0,507.95001220703125,483.8521728515625
2021-01-12,ASML,ASML Holding,USD,stock,507.1000061035156,514.7899780273438,503.5,513.9299926757812,489.5484924316406,651700,1.0,0,513.9299926757812,489.5484924316406
2021-01-13,ASML,ASML Holding,USD,stock,511.2099914550781,515.6099853515625,509.3800048828125,514.0599975585938,489.67230224609375,513700,1.0,0,514.0599975585938,489.67230224609375
2021-01-14,ASML,ASML Holding,USD,stock,530.1599731445312,546.4000244140625,529.8900146484375,544.6500244140625,518.8109741210938,1450300,1.0,0,544.6500244140625,518.8109741210938
2021-01-15,ASML,ASML Holding,USD,stock,532.3099975585938,536.8499755859375,525.3599853515625,527.5,502.47467041015625,869200,1.0,0,527.5,502.47467041015625
2021-01-19,ASML,ASML Holding,USD,stock,533.0,550.47998046875,530.6099853515625,549.5,523.430908203125,1504000,1.0,0,549.5,523.430908203125
2021-01-20,ASML,ASML Holding,USD,stock,555.5700073242188,558.1599731445312,543.1599731445312,549.3800048828125,523.3167114257812,1121900,1.0,0,549.3800048828125,523.3167114257812
2021-01-21,ASML,ASML Holding,USD,stock,568.0,573.7999877929688,565.6099853515625,570.739990234375,543.663330078125,1272100,1.0,0,570.739990234375,543.663330078125
2021-01-22,ASML,ASML Holding,USD,stock,563.489990234375,570.7100219726562,562.7899780273438,569.4500122070312,542.4345092773438,901600,1.0,0,569.4500122070312,542.4345092773438
2021-01-25,ASML,ASML Holding,USD,stock,562.1500244140625,568.219970703125,554.1199951171875,567.6099853515625,540.681884765625,966500,1.0,0,567.6099853515625,540.681884765625
2021-01-26,ASML,ASML Holding,USD,stock,563.1799926757812,563.6500244140625,548.4400024414062,549.0,522.9547119140625,887700,1.0,0,549.0,522.9547119140625
